,UNIT_ID,ALARM_DATE,CONT_DATE,CAUSE,SHAPE_Area,NumberOfDays
18087,LAC,2013-03-11 00:00:00+00:00,2013-03-11 00:00:00+00:00,14 - Unkown / Unidentified,-504.3395896,0 days
18088,LAC,2013-08-27 00:00:00+00:00,2013-08-27 00:00:00+00:00,2 - Equipment Use,-60525.34227,0 days
18089,LAC,2013-09-18 00:00:00+00:00,2013-09-19 00:00:00+00:00,14 - Unkown / Unidentified,-21500.39157,1 days
18401,LAC,2014-03-15 00:00:00+00:00,2014-03-15 00:00:00+00:00,10 - Vehicle,-703412.2297,0 days
18415,LAC,2007-04-26 00:00:00+00:00,2007-04-26 00:00:00+00:00,9 - Miscellaneous,-552.455769,0 days
18425,LAC,2007-05-23 00:00:00+00:00,2007-05-23 00:00:00+00:00,2 - Equipment Use,-1168.808603,0 days
19271,LAC,2015-03-13 00:00:00+00:00,2015-03-13 00:00:00+00:00,4 - Campfire,-7119.860823,0 days
19272,LAC,2015-04-02 00:00:00+00:00,2015-04-02 00:00:00+00:00,2 - Equipment Use,-39381.72206,0 days
19273,LAC,2015-05-03 00:00:00+00:00,2015-05-03 00:00:00+00:00,14 - Unkown / Unidentified,-60598.57583,0 days
19274,LAC,2015-05-26 00:00:00+00:00,2015-05-26 00:00:00+00:00,14 - Unkown / Unidentified,-577459.2077,0 days
19275,LAC,2015-06-13 00:00:00+00:00,2015-06-13 00:00:00+00:00,14 - Unkown / Unidentified,-185487.3119,0 days
19276,LAC,2015-05-29 00:00:00+00:00,2015-05-29 00:00:00+00:00,2 - Equipment Use,-36439.44265,0 days
19277,LAC,2015-06-23 00:00:00+00:00,2015-06-23 00:00:00+00:00,2 - Equipment Use,-69095.79856,0 days
19278,LAC,2015-06-05 00:00:00+00:00,2015-06-06 00:00:00+00:00,14 - Unkown / Unidentified,-2465704.885,1 days
19279,LAC,2015-06-29 00:00:00+00:00,2015-06-29 00:00:00+00:00,14 - Unkown / Unidentified,-56088.85377,0 days
19280,LAC,2015-06-24 00:00:00+00:00,2015-06-26 00:00:00+00:00,14 - Unkown / Unidentified,-2169098.629,2 days
19281,LAC,2015-07-12 00:00:00+00:00,2015-07-12 00:00:00+00:00,14 - Unkown / Unidentified,-98251.63487,0 days
19282,LAC,2015-09-09 00:00:00+00:00,2015-09-10 00:00:00+00:00,1 - Lightning,-64101.77356,1 days
19283,LAC,2015-09-09 00:00:00+00:00,2015-09-10 00:00:00+00:00,1 - Lightning,-28254.96471,1 days
19284,LAC,2015-09-09 00:00:00+00:00,2015-09-10 00:00:00+00:00,1 - Lightning,-44297.52909,1 days
19285,LAC,2015-08-29 00:00:00+00:00,2015-08-29 00:00:00+00:00,2 - Equipment Use,-31228.77732,0 days
19286,LAC,2015-09-05 00:00:00+00:00,2015-09-05 00:00:00+00:00,9 - Miscellaneous,-320586.9263,0 days
19287,LAC,2015-08-16 00:00:00+00:00,2015-08-16 00:00:00+00:00,14 - Unkown / Unidentified,-1383358.346,0 days
19706,LAC,2016-04-15 00:00:00+00:00,2016-04-15 00:00:00+00:00,11 - Powerline,-168912.9931,0 days
19707,LAC,2016-04-19 00:00:00+00:00,2016-04-19 00:00:00+00:00,14 - Unkown / Unidentified,-636358.6414,0 days
19708,LAC,2016-04-23 00:00:00+00:00,2016-04-24 00:00:00+00:00,14 - Unkown / Unidentified,-7778.012804,1 days
19709,LAC,2016-04-29 00:00:00+00:00,2016-04-29 00:00:00+00:00,5 - Debris,-181025.8931,0 days
19710,LAC,2016-05-28 00:00:00+00:00,2016-05-28 00:00:00+00:00,14 - Unkown / Unidentified,-27654.84828,0 days
19711,LAC,2016-06-04 00:00:00+00:00,2016-06-04 00:00:00+00:00,2 - Equipment Use,-2758023.444,0 days
19712,LAC,2016-06-09 00:00:00+00:00,2016-06-09 00:00:00+00:00,14 - Unkown / Unidentified,-42892.72964,0 days
19713,LAC,2016-07-09 00:00:00+00:00,2016-07-16 00:00:00+00:00,4 - Campfire,-5066086.737,7 days
19714,LAC,2016-06-23 00:00:00+00:00,2016-06-23 00:00:00+00:00,14 - Unkown / Unidentified,-4803.227545,0 days
19715,LAC,2016-07-12 00:00:00+00:00,2016-07-12 00:00:00+00:00,14 - Unkown / Unidentified,-19571.51551,0 days
19716,LAC,2016-07-19 00:00:00+00:00,2016-07-19 00:00:00+00:00,3 - Infared,-75950.88252,0 days
19717,LAC,2016-08-05 00:00:00+00:00,2016-08-05 00:00:00+00:00,14 - Unkown / Unidentified,-48348.55245,0 days
19718,LAC,2016-08-15 00:00:00+00:00,2016-08-15 00:00:00+00:00,14 - Unkown / Unidentified,-797.8750298,0 days
19719,LAC,2016-09-02 00:00:00+00:00,2016-09-02 00:00:00+00:00,14 - Unkown / Unidentified,-27000.61017,0 days
19720,LAC,2016-09-20 00:00:00+00:00,2016-09-20 00:00:00+00:00,14 - Unkown / Unidentified,-46573.97817,0 days
19721,LAC,2016-09-25 00:00:00+00:00,2016-09-25 00:00:00+00:00,14 - Unkown / Unidentified,-22215.42981,0 days
19722,LAC,2016-10-11 00:00:00+00:00,2016-10-11 00:00:00+00:00,14 - Unkown / Unidentified,-608600.3571,0 days
19723,LAC,2016-10-18 00:00:00+00:00,2016-10-19 00:00:00+00:00,14 - Unkown / Unidentified,-170549.9714,1 days
19724,LAC,2016-10-19 00:00:00+00:00,2016-10-19 00:00:00+00:00,14 - Unkown / Unidentified,-367312.1408,0 days
19725,LAC,2016-11-09 00:00:00+00:00,2016-11-09 00:00:00+00:00,3 - Infared,-3457.439088,0 days
19726,LAC,2016-11-10 00:00:00+00:00,2016-11-10 00:00:00+00:00,2 - Equipment Use,-5424.550864,0 days
19727,LAC,2016-11-19 00:00:00+00:00,2016-11-19 00:00:00+00:00,10 - Vehicle,-26581.21417,0 days
19728,LAC,2016-12-29 00:00:00+00:00,2016-12-29 00:00:00+00:00,14 - Unkown / Unidentified,-28409.30876,0 days
20224,LAC,2017-04-29 00:00:00+00:00,2017-04-29 00:00:00+00:00,2 - Equipment Use,-14933.86903,0 days
20225,LAC,2017-06-25 00:00:00+00:00,2017-06-26 00:00:00+00:00,7 - Arson,-4525545.783,1 days
20226,LAC,2017-06-17 00:00:00+00:00,2017-06-17 00:00:00+00:00,14 - Unkown / Unidentified,-4385183.743,0 days
20227,LAC,2017-06-29 00:00:00+00:00,2017-07-02 00:00:00+00:00,14 - Unkown / Unidentified,-249150.1925,3 days
20228,LAC,2017-06-29 00:00:00+00:00,2017-07-02 00:00:00+00:00,14 - Unkown / Unidentified,-171754.3358,3 days
20229,LAC,2017-05-15 00:00:00+00:00,2017-05-15 00:00:00+00:00,4 - Campfire,-15311.27057,0 days
20230,LAC,2017-05-19 00:00:00+00:00,2017-05-19 00:00:00+00:00,14 - Unkown / Unidentified,-43624.44625,0 days
20231,LAC,2017-05-29 00:00:00+00:00,2017-05-29 00:00:00+00:00,4 - Campfire,-12330.9642,0 days
20232,LAC,2017-06-03 00:00:00+00:00,2017-06-03 00:00:00+00:00,14 - Unkown / Unidentified,-151271.7988,0 days
20233,LAC,2017-06-13 00:00:00+00:00,2017-06-13 00:00:00+00:00,4 - Campfire,-57020.21768,0 days
20234,LAC,2017-06-22 00:00:00+00:00,2017-06-22 00:00:00+00:00,2 - Equipment Use,-1078.046409,0 days
20235,LAC,2017-07-04 00:00:00+00:00,2017-07-05 00:00:00+00:00,8 - Playing with fire,-206.7286685,1 days
20236,LAC,2017-07-29 00:00:00+00:00,2017-07-29 00:00:00+00:00,14 - Unkown / Unidentified,-3322.33703,0 days
20237,LAC,2017-07-31 00:00:00+00:00,2017-07-31 00:00:00+00:00,14 - Unkown / Unidentified,-17195.77511,0 days
20238,LAC,2017-06-11 00:00:00+00:00,2017-06-11 00:00:00+00:00,7 - Arson,-232771.9006,0 days
20239,LAC,2017-07-04 00:00:00+00:00,2017-07-04 00:00:00+00:00,14 - Unkown / Unidentified,-8033.267316,0 days
20240,LAC,2017-06-30 00:00:00+00:00,2017-06-30 00:00:00+00:00,2 - Equipment Use,-112692.7099,0 days
20241,LAC,2017-07-18 00:00:00+00:00,2017-07-18 00:00:00+00:00,2 - Equipment Use,-9747.892947,0 days
20242,LAC,2017-07-09 00:00:00+00:00,2017-07-09 00:00:00+00:00,8 - Playing with fire,-8010.060731,0 days
20243,LAC,2017-10-05 00:00:00+00:00,2017-10-06 00:00:00+00:00,7 - Arson,-313.0541259,1 days
20244,LAC,2017-10-29 00:00:00+00:00,2017-10-29 00:00:00+00:00,14 - Unkown / Unidentified,-1438.926433,0 days
20245,LAC,2017-10-21 00:00:00+00:00,2017-10-21 00:00:00+00:00,14 - Unkown / Unidentified,-164.1052082,0 days
20246,LAC,2017-09-28 00:00:00+00:00,2017-09-28 00:00:00+00:00,14 - Unkown / Unidentified,-1777.422038,0 days
20247,LAC,2017-09-09 00:00:00+00:00,2017-09-09 00:00:00+00:00,11 - Powerline,-834.1525273,0 days
20248,LAC,2017-08-13 00:00:00+00:00,2017-08-13 00:00:00+00:00,14 - Unkown / Unidentified,-394057.0597,0 days
20249,LAC,2017-07-25 00:00:00+00:00,2017-07-25 00:00:00+00:00,14 - Unkown / Unidentified,-6707.028507,0 days
20250,LAC,2017-07-13 00:00:00+00:00,2017-07-15 00:00:00+00:00,8 - Playing with fire,-214235.8366,2 days
20251,LAC,2017-07-23 00:00:00+00:00,2017-07-23 00:00:00+00:00,14 - Unkown / Unidentified,-361739.6227,0 days
20252,LAC,2017-07-28 00:00:00+00:00,2017-07-28 00:00:00+00:00,14 - Unkown / Unidentified,-899961.0358,0 days
20253,LAC,2017-08-27 00:00:00+00:00,2017-08-28 00:00:00+00:00,2 - Equipment Use,-217830.6305,1 days
20254,LAC,2017-11-12 00:00:00+00:00,2017-11-12 00:00:00+00:00,14 - Unkown / Unidentified,-1458.391954,0 days
20255,LAC,2017-11-13 00:00:00+00:00,2017-11-13 00:00:00+00:00,2 - Equipment Use,-415.2878245,0 days
20256,LAC,2017-12-18 00:00:00+00:00,2017-12-18 00:00:00+00:00,2 - Equipment Use,-1062.964161,0 days
20257,LAC,2017-12-05 00:00:00+00:00,2017-12-05 00:00:00+00:00,14 - Unkown / Unidentified,-92857036.08,0 days
20258,LAC,2017-12-05 00:00:00+00:00,2017-12-13 00:00:00+00:00,14 - Unkown / Unidentified,-36056780.63,8 days
20850,LAC,2018-02-13 00:00:00+00:00,2018-02-13 00:00:00+00:00,11 - Powerline,-149.3423322,0 days
20851,LAC,2018-04-19 00:00:00+00:00,2018-04-20 00:00:00+00:00,11 - Powerline,-46535.15698,1 days
20852,LAC,2018-05-04 00:00:00+00:00,2018-05-05 00:00:00+00:00,14 - Unkown / Unidentified,-106552.0441,1 days
20853,LAC,2018-05-06 00:00:00+00:00,2018-05-06 00:00:00+00:00,11 - Powerline,-84695.19177,0 days
20854,LAC,2018-06-09 00:00:00+00:00,2018-06-12 00:00:00+00:00,14 - Unkown / Unidentified,-1042451.64,3 days
20855,LAC,2018-05-27 00:00:00+00:00,2018-05-27 00:00:00+00:00,2 - Equipment Use,-667.635587,0 days
20856,LAC,2018-06-21 00:00:00+00:00,2018-06-21 00:00:00+00:00,14 - Unkown / Unidentified,-5428.991064,0 days
20857,LAC,2018-07-23 00:00:00+00:00,2018-07-23 00:00:00+00:00,14 - Unkown / Unidentified,-540422.6529,0 days
20858,LAC,2018-08-18 00:00:00+00:00,2018-08-18 00:00:00+00:00,15 - Structure,-54783.72547,0 days
20859,LAC,2018-09-08 00:00:00+00:00,2018-09-08 00:00:00+00:00,3 - Infared,-705.2317264,0 days
